Ward_code,Borough_code,Borough_name,Ward_name,candidate,party,party_long,number_votes,elected_flag,Number of councillors in ward
E05000037,E09000002,Barking and Dagenham,Parsloes,"Zanitchkhah, Linda Ms.",LAB,Labour Party,1111,Yes,3
E05000037,E09000002,Barking and Dagenham,Parsloes,"Hall, Richard P.",UKIP,UK Independence Party (UKIP),900,,3
E05000037,E09000002,Barking and Dagenham,Parsloes,"Miah, Goyas",CON,Conservative Party,249,,3
E05000037,E09000002,Barking and Dagenham,Parsloes,"Ali, Zahanara",CON,Conservative Party,202,,3
E05000037,E09000002,Barking and Dagenham,Parsloes,"Chowdhury, Numaun I.",CON,Conservative Party,196,,3
E05000038,E09000002,Barking and Dagenham,River,"Chand, Peter",LAB,Labour Party,1668,Yes,3
E05000038,E09000002,Barking and Dagenham,River,"Keller, Eileen S. Ms.*",LAB,Labour Party,1668,Yes,3
E05000038,E09000002,Barking and Dagenham,River,"Jamu, Amardeep S.*",LAB,Labour Party,1491,Yes,3
E05000038,E09000002,Barking and Dagenham,River,"Harris, Lorraine M. Ms.",UKIP,UK Independence Party (UKIP),875,,3
E05000038,E09000002,Barking and Dagenham,River,"Majid, Husneara",CON,Conservative Party,317,,3
E05000039,E09000002,Barking and Dagenham,Thames,"Channer, Josephine Ms.*",LAB,Labour Party,1720,Yes,3
E05000039,E09000002,Barking and Dagenham,Thames,"Geddes, Cameron*",LAB,Labour Party,1622,Yes,3
E05000039,E09000002,Barking and Dagenham,Thames,"Turner, Bill",LAB,Labour Party,1573,Yes,3
E05000039,E09000002,Barking and Dagenham,Thames,"Cracknell, Joyce P. Ms.",UKIP,UK Independence Party (UKIP),655,,3
E05000039,E09000002,Barking and Dagenham,Thames,"Dumbleton, Pamela E. Ms.",UKIP,UK Independence Party (UKIP),644,,3
E05000039,E09000002,Barking and Dagenham,Thames,"Begum, Reba",CON,Conservative Party,266,,3
E05000039,E09000002,Barking and Dagenham,Thames,"Poulton, Barry*",SLP,Socialist Labour Party,245,,3
E05000039,E09000002,Barking and Dagenham,Thames,"Boff, Andrew",CON,Conservative Party,244,,3
E05000039,E09000002,Barking and Dagenham,Thames,"Dutta, Bijan",CON,Conservative Party,138,,3
E05000039,E09000002,Barking and Dagenham,Thames,"Mambulmh, Joseph",TUSC,Trade Unionist and Socialist Coalition,56,,3
E05000040,E09000002,Barking and Dagenham,Valence,"Jones, Jane E. Ms.",LAB,Labour Party,1471,Yes,3
E05000040,E09000002,Barking and Dagenham,Valence,"Worby, Maureen M. Ms.*",LAB,Labour Party,1403,Yes,3
E05000040,E09000002,Barking and Dagenham,Valence,"Ghani, Syed F.",LAB,Labour Party,1243,Yes,3
